StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q5_4_TEXT,Q7,Q6,1. TTCW Fluency1,2. TTCW Fluency2,3. TTCW Fluency3,"4. TTCW Fluency4 ",5. TTCW Fluency5,6.TTCW Flexibility1 ,7.TTCW Flexibility2 ,8.TTCW Flexibility3 ,9. TTCW Originality1,10.TTCW Originality2,11.TTCW Originality3,12.TTCW Elaboration1,13.TTCW Elaboration2,14.TTCW Elaboration3,15. TTCW Fluency1,16. TTCW Fluency2,17. TTCW Fluency3,18. TTCW Fluency4,19. TTCW Fluency5,"20TTCW Flexibility1 ",21TTCW Flexibility2 ,22TTCW Flexibility3 ,23.TTCW Originality1,24.TTCW Originality2,25.TTCW Originality3,26.TTCW Elaboration1,27.TTCW Elaboration2,28.TTCW Elaboration3,Q339,set,order,llm_model,llm_file,human_file
2026-05-25 02:41:28,2026-05-25 02:56:43,IP Address,82.74.164.85,100,914,True,2026-05-25 02:56:44,R_2hZs5vmO4wZpmWB,,,,,53.2275,6.5433,anonymous,EN,20,Vrouw,,WO Bachelor,"Bewegingswetenschappen ",Nee,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Verhaal 2,22,llm_first,claude,claude_story_22.txt,human_story_22.txt
2026-05-25 03:27:31,2026-05-25 03:36:59,IP Address,77.175.139.207,100,567,True,2026-05-25 03:37:00,R_2wROTPgDjccd9GF,,,,,53.2141,6.5541,anonymous,EN,22,Vrouw,,WO Bachelor,Orthopedagogiek,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Nee,Ja,Verhaal 2,25,llm_first,gpt,gpt_story_25.txt,human_story_25.txt
2026-05-25 04:31:23,2026-05-25 04:41:11,IP Address,217.120.19.32,100,587,True,2026-05-25 04:41:11,R_8p6fHOnT11XpFqu,,,,,53.2286,6.5743,anonymous,EN,23,Vrouw,,HBO Bachelor,Bouwkunde,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Ja,Verhaal 2,8,human_first,gemini,gemini_story_8.txt,human_story_8.txt
2026-05-26 01:10:31,2026-05-26 01:19:07,IP Address,84.105.183.214,100,516,True,2026-05-26 01:19:08,R_2LvTEQm2dMwP2DO,,,,,53.2227,6.5535,anonymous,EN,23,Vrouw,,WO Bachelor,Communicatiewetenschappen,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Verhaal 1,28,llm_first,gemini,gemini_story_28.txt,human_story_28.txt
2026-05-26 03:32:03,2026-05-26 03:41:04,IP Address,82.169.147.245,100,541,True,2026-05-26 03:41:05,R_25yFzVqcNUootTr,,,,,51.8611,5.7633,anonymous,EN,26,Man,,WO Master,Financiële dienstverlening en ict,Ja,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Verhaal 1,6,human_first,gemini,gemini_story_6.txt,human_story_6.txt
2026-05-26 03:38:41,2026-05-26 03:51:57,IP Address,85.144.171.52,100,795,True,2026-05-26 03:51:58,R_8zkbN1epqsxZLDI,,,,,52.6667,6.2855,anonymous,EN,31,Man,,HBO Bachelor,Rechten,Ja,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Verhaal 1,19,human_first,gemini,gemini_story_19.txt,human_story_19.txt
2026-05-26 03:58:21,2026-05-26 04:14:41,IP Address,217.62.53.21,100,979,True,2026-05-26 04:14:42,R_8v7FO1rbErVe2mj,,,,,53.2333,6.5849,anonymous,EN,18,Man,,"Middelbaar onderwijs (VMBO, HAVO, VWO)",Engineering elektrotechniek,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Verhaal 2,33,human_first,gemini,gemini_story_33.txt,human_story_33.txt
2026-05-26 04:59:10,2026-05-26 05:09:14,IP Address,82.217.142.104,100,603,True,2026-05-26 05:09:14,R_22qZqpVRBwF3erN,,,,,53.2222,6.5664,anonymous,EN,67,Man,,PhD / Doctoraat,"Nederlandse Taal en Letterkunde - specialisatie Taalbeheersing en Letterkunde(studie), Communicatie- en Informatiewetenschappen (onderzoek, werk)",Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Verhaal 1,1,human_first,claude,claude_story_1.txt,human_story_1.txt
2026-05-26 05:07:12,2026-05-26 05:20:09,IP Address,80.75.104.190,100,777,True,2026-05-26 05:20:10,R_81tG7g4An2y6cJb,,,,,65.0121,25.4753,anonymous,EN,20,Vrouw,,"Middelbaar onderwijs (VMBO, HAVO, VWO)",Techniek,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Verhaal 1,10,llm_first,gpt,gpt_story_10.txt,human_story_10.txt
2026-05-26 05:19:50,2026-05-26 07:54:43,IP Address,62.250.63.76,100,9292,True,2026-05-26 07:54:44,R_8r1bXsxTxDHMGjj,,,,,53.2258,6.5342,anonymous,EN,28,Vrouw,,WO Master,Communicatie & educatie,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Verhaal 1,12,human_first,gemini,gemini_story_12.txt,human_story_12.txt
2026-05-26 07:32:36,2026-05-26 08:02:53,IP Address,145.33.150.152,100,1816,True,2026-05-26 08:02:53,R_2rZUZjpl9wwBI8c,,,,,53.2222,6.5664,anonymous,EN,53,Man,,PhD / Doctoraat,media studies,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Verhaal 2,5,llm_first,gemini,gemini_story_5.txt,human_story_5.txt
2026-05-26 10:06:54,2026-05-26 10:13:43,IP Address,84.27.80.157,100,409,True,2026-05-26 10:13:44,R_2RvJ3hyz5JdCcOf,,,,,53.2333,6.5849,anonymous,EN,56,Vrouw,,HBO Bachelor,Commerciële econi,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Verhaal 2,32,llm_first,gpt,gpt_story_32.txt,human_story_32.txt
