Duration (in seconds);RecordedDate;ResponseId;Q4;Q5;Q5_4_TEXT;Q7;Q6;1. TTCW Fluency1;2. TTCW Fluency2;3. TTCW Fluency3;4. TTCW Fluency4;5. TTCW Fluency5;6.TTCW Flexibility1;7.TTCW Flexibility2;8.TTCW Flexibility3;9. TTCW Originality1;10.TTCW Originality2;11.TTCW Originality3;12.TTCW Elaboration1;13.TTCW Elaboration2;14.TTCW Elaboration3;15. TTCW Fluency1;16. TTCW Fluency2;17. TTCW Fluency3;18. TTCW Fluency4;19. TTCW Fluency5;20TTCW Flexibility1;21TTCW Flexibility2;22TTCW Flexibility3;23.TTCW Originality1;24.TTCW Originality2;25.TTCW Originality3;26.TTCW Elaboration1;27.TTCW Elaboration2;28.TTCW Elaboration3;Q339;StoryA;StoryB;set;order;llm_model;llm_file;human_file
914;2026-05-25 02:56:44;R_2hZs5vmO4wZpmWB;20;Vrouw;;WO Bachelor;Bewegingswetenschappen ;Nee;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Verhaal 2;;;22;llm_first;claude;claude_story_22.txt;human_story_22.txt
567;2026-05-25 03:37:00;R_2wROTPgDjccd9GF;22;Vrouw;;WO Bachelor;Orthopedagogiek;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Verhaal 2;;;25;llm_first;gpt;gpt_story_25.txt;human_story_25.txt
587;2026-05-25 04:41:11;R_8p6fHOnT11XpFqu;23;Vrouw;;HBO Bachelor;Bouwkunde;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Ja;Verhaal 2;;;8;human_first;gemini;gemini_story_8.txt;human_story_8.txt
516;2026-05-26 01:19:08;R_2LvTEQm2dMwP2DO;23;Vrouw;;WO Bachelor;Communicatiewetenschappen;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Verhaal 1;;;28;llm_first;gemini;gemini_story_28.txt;human_story_28.txt
541;2026-05-26 03:41:05;R_25yFzVqcNUootTr;26;Man;;WO Master;Financiële dienstverlening en ict;Ja;Nee;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Verhaal 1;;;6;human_first;gemini;gemini_story_6.txt;human_story_6.txt
795;2026-05-26 03:51:58;R_8zkbN1epqsxZLDI;31;Man;;HBO Bachelor;Rechten;Ja;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Verhaal 1;;;19;human_first;gemini;gemini_story_19.txt;human_story_19.txt
979;2026-05-26 04:14:42;R_8v7FO1rbErVe2mj;18;Man;;Middelbaar onderwijs (VMBO, HAVO, VWO);Engineering elektrotechniek;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Verhaal 2;;;33;human_first;gemini;gemini_story_33.txt;human_story_33.txt
603;2026-05-26 05:09:14;R_22qZqpVRBwF3erN;67;Man;;PhD / Doctoraat;Nederlandse Taal en Letterkunde - specialisatie Taalbeheersing en Letterkunde(studie), Communicatie- en Informatiewetenschappen (onderzoek, werk);Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Verhaal 1;;;1;human_first;claude;claude_story_1.txt;human_story_1.txt
777;2026-05-26 05:20:10;R_81tG7g4An2y6cJb;20;Vrouw;;Middelbaar onderwijs (VMBO, HAVO, VWO);Techniek;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Verhaal 1;;;10;llm_first;gpt;gpt_story_10.txt;human_story_10.txt
9292;2026-05-26 07:54:44;R_8r1bXsxTxDHMGjj;28;Vrouw;;WO Master;Communicatie & educatie;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Verhaal 1;;;12;human_first;gemini;gemini_story_12.txt;human_story_12.txt
1816;2026-05-26 08:02:53;R_2rZUZjpl9wwBI8c;53;Man;;PhD / Doctoraat;media studies;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Verhaal 2;;;5;llm_first;gemini;gemini_story_5.txt;human_story_5.txt
409;2026-05-26 10:13:44;R_2RvJ3hyz5JdCcOf;56;Vrouw;;HBO Bachelor;Commerciële econi;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Verhaal 2;;;32;llm_first;gpt;gpt_story_32.txt;human_story_32.txt
571;2026-05-26 10:32:20;R_8PSNKr4m6z6XIWJ;23;Man;;WO Master;Biomedische wetenschappen;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Verhaal 1;;;8;human_first;gpt;gpt_story_8.txt;human_story_8.txt
814;2026-05-26 11:25:51;R_8JIOgEH3Iq8gPrh;28;Vrouw;;WO Master;Biomedische wetenschappen ;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Verhaal 1;;;4;llm_first;gpt;gpt_story_4.txt;human_story_4.txt
242;2026-05-26 14:28:45;R_81cKXgxHD19hb4x;28;Vrouw;;WO Master;Cultuur;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Verhaal 1;;;30;llm_first;gemini;gemini_story_30.txt;human_story_30.txt
500;2026-05-26 15:17:45;R_8hhZyRGg9baXfAj;46;Man;;Anders;Finance, Assurance, Banking, IT;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Verhaal 2;;;3;human_first;gpt;gpt_story_3.txt;human_story_3.txt
237;2026-05-27 01:40:35;R_2e81z7tQMD7J8ln;24;Man;;HBO Bachelor;Docent Engels ;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Verhaal 2;;;24;llm_first;claude;claude_story_24.txt;human_story_24.txt
1253;2026-05-27 01:46:48;R_2cfbsFvJ2MKK0FP;25;Vrouw;;HBO Bachelor;Communicatie;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Verhaal 1;;;28;human_first;gpt;gpt_story_28.txt;human_story_28.txt
724;2026-05-27 01:59:21;R_8lVsEsXPx9KU4mf;37;Vrouw;;WO Master;Communicatie;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Verhaal 2;;;20;human_first;gpt;gpt_story_20.txt;human_story_20.txt
991;2026-05-27 02:07:59;R_2eJN55ufaP68OvF;53;Man;;PhD / Doctoraat;psychologie;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Verhaal 1;;;17;llm_first;gpt;gpt_story_17.txt;human_story_17.txt
787;2026-05-27 02:11:51;R_2gdWh5XLWJC7G1g;26;Vrouw;;WO Master;Communicatiewetenschap ;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Verhaal 2;;;28;human_first;gpt;gpt_story_28.txt;human_story_28.txt
